Haryana,NR,28.4500064849854,77.0199890136719,2019-05-26,93
Rajasthan,NR,26.4499988555908,74.6399841308594,2019-05-26,178.699996948242
Delhi,NR,28.6699924468994,77.2300033569336,2019-05-26,46.0999984741211
UP,NR,27.5999813079834,78.0500030517578,2019-05-26,240.800003051758
Uttarakhand,NR,30.3204097747803,78.0500030517578,2019-05-26,22.5
HP,NR,31.100025177002,77.1665954589844,2019-05-26,13
J&K,NR,33.4500007629395,76.2399978637695,2019-05-26,45.5999984741211
Chandigarh,NR,30.7199974060059,76.7800064086914,2019-05-26,2.40000009536743
Chhattisgarh,WR,22.0904197692871,82.1599884033203,2019-05-26,81.5999984741211
Gujarat,WR,22.2586994171143,71.1923980712891,2019-05-26,282.399993896484
MP,WR,21.3003902435303,76.1300201416016,2019-05-26,182.100006103516
Maharashtra,WR,19.2502326965332,73.1601715087891,2019-05-26,395.600006103516
Goa,WR,15.4919967651367,73.818000793457,2019-05-26,7.40000009536743
DNH,WR,20.2665786743164,73.0166168212891,2019-05-26,13.5
Andhra Pradesh,SR,14.7504291534424,78.5700225830078,2019-05-26,176.699996948242
Telangana,SR,18.1124000549316,79.0193023681641,2019-05-26,219.699996948242
Karnataka,SR,12.5703811645508,76.9199981689453,2019-05-26,226.399993896484
Kerala,SR,8.90037250518799,76.5699920654297,2019-05-26,69.9000015258789
Tamil Nadu,SR,12.9203853607178,79.1500396728516,2019-05-26,276.5
Pondy,SR,11.9349937438965,79.8300018310547,2019-05-26,6.09999990463257
Bihar,ER,25.7854137420654,87.4799728393555,2019-05-26,68.1999969482422
Jharkhand,ER,23.8003940582275,86.4199829101563,2019-05-26,21.5
Odisha,ER,19.8204288482666,85.900016784668,2019-05-26,66.5
West Bengal,ER,22.5803909301758,88.329948425293,2019-05-26,100.400001525879
Sikkim,ER,27.3333301544189,88.6166458129883,2019-05-26,1
Arunachal Pradesh,NER,27.100399017334,93.6166000366211,2019-05-26,2.09999990463257
Assam,NER,26.7499809265137,94.216667175293,2019-05-26,19
Manipur,NER,24.7999706268311,93.9500198364258,2019-05-26,2.40000009536743
Meghalaya,NER,25.5704917907715,91.880012512207,2019-05-26,5.59999990463257
Mizoram,NER,23.7103996276855,92.7200164794922,2019-05-26,1.60000002384186
Nagaland,NER,25.6669979095459,94.116569519043,2019-05-26,2.20000004768372
Tripura,NER,23.8354034423828,91.2799987792969,2019-05-26,3.09999990463257
Punjab,NR,31.5199737548828,75.9800033569336,2019-05-27,74.6999969482422
Haryana,NR,28.4500064849854,77.0199890136719,2019-05-27,92
Rajasthan,NR,26.4499988555908,74.6399841308594,2019-05-27,171.899993896484
Delhi,NR,28.6699924468994,77.2300033569336,2019-05-27,48.7000007629395
UP,NR,27.5999813079834,78.0500030517578,2019-05-27,247.399993896484
Uttarakhand,NR,30.3204097747803,78.0500030517578,2019-05-27,21.7000007629395
HP,NR,31.100025177002,77.1665954589844,2019-05-27,20.5
J&K,NR,33.4500007629395,76.2399978637695,2019-05-27,44.7000007629395
Chandigarh,NR,30.7199974060059,76.7800064086914,2019-05-27,2.40000009536743
Chhattisgarh,WR,22.0904197692871,82.1599884033203,2019-05-27,86.4000015258789
Gujarat,WR,22.2586994171143,71.1923980712891,2019-05-27,291
MP,WR,21.3003902435303,76.1300201416016,2019-05-27,183.399993896484
Maharashtra,WR,19.2502326965332,73.1601715087891,2019-05-27,403.600006103516
Goa,WR,15.4919967651367,73.818000793457,2019-05-27,6.90000009536743
DNH,WR,20.2665786743164,73.0166168212891,2019-05-27,15
Andhra Pradesh,SR,14.7504291534424,78.5700225830078,2019-05-27,181.399993896484
Telangana,SR,18.1124000549316,79.0193023681641,2019-05-27,224.899993896484
Karnataka,SR,12.5703811645508,76.9199981689453,2019-05-27,238.300003051758
Kerala,SR,8.90037250518799,76.5699920654297,2019-05-27,75.3000030517578
Tamil Nadu,SR,12.9203853607178,79.1500396728516,2019-05-27,302.600006103516
Pondy,SR,11.9349937438965,79.8300018310547,2019-05-27,7
Bihar,ER,25.7854137420654,87.4799728393555,2019-05-27,63
Jharkhand,ER,23.8003940582275,86.4199829101563,2019-05-27,23.2000007629395
Odisha,ER,19.8204288482666,85.900016784668,2019-05-27,69.0999984741211
West Bengal,ER,22.5803909301758,88.329948425293,2019-05-27,114.699996948242
Sikkim,ER,27.3333301544189,88.6166458129883,2019-05-27,1.39999997615814
Arunachal Pradesh,NER,27.100399017334,93.6166000366211,2019-05-27,1.89999997615814
Assam,NER,26.7499809265137,94.216667175293,2019-05-27,21.5
Manipur,NER,24.7999706268311,93.9500198364258,2019-05-27,2.70000004768372
Meghalaya,NER,25.5704917907715,91.880012512207,2019-05-27,5.80000019073486
Mizoram,NER,23.7103996276855,92.7200164794922,2019-05-27,1.79999995231628
Nagaland,NER,25.6669979095459,94.116569519043,2019-05-27,2.09999990463257
Tripura,NER,23.8354034423828,91.2799987792969,2019-05-27,3.5
Punjab,NR,31.5199737548828,75.9800033569336,2019-05-28,69.5999984741211
Haryana,NR,28.4500064849854,77.0199890136719,2019-05-28,85.9000015258789
Rajasthan,NR,26.4499988555908,74.6399841308594,2019-05-28,171.399993896484
Delhi,NR,28.6699924468994,77.2300033569336,2019-05-28,46
UP,NR,27.5999813079834,78.0500030517578,2019-05-28,241.600006103516
Uttarakhand,NR,30.3204097747803,78.0500030517578,2019-05-28,19.5
HP,NR,31.100025177002,77.1665954589844,2019-05-28,15.6000003814697
J&K,NR,33.4500007629395,76.2399978637695,2019-05-28,42.7999992370605
Chandigarh,NR,30.7199974060059,76.7800064086914,2019-05-28,2.29999995231628
Chhattisgarh,WR,22.0904197692871,82.1599884033203,2019-05-28,80.8000030517578
Gujarat,WR,22.2586994171143,71.1923980712891,2019-05-28,263
MP,WR,21.3003902435303,76.1300201416016,2019-05-28,178.899993896484
Maharashtra,WR,19.2502326965332,73.1601715087891,2019-05-28,394.399993896484
Goa,WR,15.4919967651367,73.818000793457,2019-05-28,7.19999980926514
DNH,WR,20.2665786743164,73.0166168212891,2019-05-28,12.8999996185303
Andhra Pradesh,SR,14.7504291534424,78.5700225830078,2019-05-28,175.399993896484
Telangana,SR,18.1124000549316,79.0193023681641,2019-05-28,210.699996948242
Karnataka,SR,12.5703811645508,76.9199981689453,2019-05-28,231.199996948242
Kerala,SR,8.90037250518799,76.5699920654297,2019-05-28,69.9000015258789
Tamil Nadu,SR,12.9203853607178,79.1500396728516,2019-05-28,290.700012207031
Pondy,SR,11.9349937438965,79.8300018310547,2019-05-28,5
Bihar,ER,25.7854137420654,87.4799728393555,2019-05-28,69.9000015258789
Jharkhand,ER,23.8003940582275,86.4199829101563,2019-05-28,23.8999996185303
Odisha,ER,19.8204288482666,85.900016784668,2019-05-28,74.6999969482422
West Bengal,ER,22.5803909301758,88.329948425293,2019-05-28,106.400001525879
Sikkim,ER,27.3333301544189,88.6166458129883,2019-05-28,1.5
Arunachal Pradesh,NER,27.100399017334,93.6166000366211,2019-05-28,2
Assam,NER,26.7499809265137,94.216667175293,2019-05-28,21.2999992370605
Manipur,NER,24.7999706268311,93.9500198364258,2019-05-28,2.59999990463257
Meghalaya,NER,25.5704917907715,91.880012512207,2019-05-28,5.30000019073486
Mizoram,NER,23.7103996276855,92.7200164794922,2019-05-28,1.70000004768372
Nagaland,NER,25.6669979095459,94.116569519043,2019-05-28,2
Tripura,NER,23.8354034423828,91.2799987792969,2019-05-28,3.59999990463257
Punjab,NR,31.5199737548828,75.9800033569336,2019-05-29,63.0999984741211
Haryana,NR,28.4500064849854,77.0199890136719,2019-05-29,76.6999969482422
Rajasthan,NR,26.4499988555908,74.6399841308594,2019-05-29,161.199996948242
Delhi,NR,28.6699924468994,77.2300033569336,2019-05-29,46.0999984741211
UP,NR,27.5999813079834,78.0500030517578,2019-05-29,239.899993896484
Uttarakhand,NR,30.3204097747803,78.0500030517578,2019-05-29,18.2000007629395
HP,NR,31.100025177002,77.1665954589844,2019-05-29,12.8000001907349
J&K,NR,33.4500007629395,76.2399978637695,2019-05-29,44.5999984741211
Chandigarh,NR,30.7199974060059,76.7800064086914,2019-05-29,2.29999995231628
Chhattisgarh,WR,22.0904197692871,82.1599884033203,2019-05-29,75.1999969482422
Gujarat,WR,22.2586994171143,71.1923980712891,2019-05-29,238.199996948242
MP,WR,21.3003902435303,76.1300201416016,2019-05-29,160
Maharashtra,WR,19.2502326965332,73.1601715087891,2019-05-29,357.899993896484
Goa,WR,15.4919967651367,73.818000793457,2019-05-29,6.19999980926514
DNH,WR,20.2665786743164,73.0166168212891,2019-05-29,3.20000004768372
